# List of words that jwordsplitter would otherwise split incorrectly.
# Use the pipe symbol (|) to mark the correct place to split the word.
# Add /NS to add 'n' and 's' as suffixes
Buchungs|trick
Buchungs|tricks
Brutto|renten|niveau
Brutto|renten|niveaus
Sünder|ecke
Abteil|ende
Außen|stürmer
Beileids|karte
Comic|strip
Eichen|seide
Flügel|stürmer
Hinweg|sehen
Kombinations|gabe
Kupfer|seide
Natur|seide
Pilot|sendung
Schreib|stube
Staub|saugen
Strick|strumpf
Präsidentschafts|amt
Präsidentschafts|amts
Präsidentschafts|amtes
Übungs|einsatz
Übungs|einsätzen
Übungs|teil
Übungs|teile
Überwachungs|turm
Überwachungs|turmes
Überwachungs|turms
Überwachungs|türme
Überwachungs|türmen
Überlebens|trick
Überlebens|tricks
Telekommunikations|turm
Telekommunikations|turmes
Telekommunikations|turms
Telekommunikations|türme
Telekommunikations|türmen
Techniker|kranken|kasse
Stiftungs|konto
Stiftungs|kontos
Stationierungs|ort
Stationierungs|ortes
Stationierungs|orts
Stationierungs|orte
Stationierungs|orten
Standes|amt|bezirk
Standes|amt|bezirkes
Standes|amt|bezirks
Standes|amt|bezirke
Standes|amt|termin
Standes|amt|termins
Standes|amt|termine
Standes|amt|terminen
Speicher|einheit
Speicher|einheiten
Rettungs|einsatz
Rettungs|einsätze
Rettungs|einsätzen
Rettungs|turm
Reise|tage
Reise|tagen
Staats|konto
Staats|kontos
Schweins|augen
Schafs|augen
Ritter|dichtung
Ritter|dichtungen
Ritter|leben
Ritter|lebens
Ritter|kämpfen
Ritter|spielen
Schönheits|tempel
Schönheits|tempels
Solidaritäts|konto
Solidaritäts|kontos
Sehnsuchts|ort
Sehnsuchts|ortes
Sehnsuchts|orts
Sehnsuchts|orte
Sehnsuchts|orten
Silber|eisen
Tagungs|ort
Tagungs|ortes
Tagungs|orts
Tagungs|orte
Tagungs|orten
Sturmes|eile
Trainings|ort
Trainings|orte
Tusche|strich
Tusche|strichs
Tusche|striche
Tusche|strichen
Truppen|teilen
Wurf|sendung
Austragungs|orte
Kultur|geschichte
Kammer|spielen
Unternehmens|teile
Kinder|krankenhaus
Versuchs|tier
Versuchs|tiere
Versuchs|tieren
Versuchs|tieres
Versuchs|tiers
Versammlungs|orte
Versammlungs|ortes
Versammlungs|orts
Versammlungs|orten
Verhandlungs|ort
Verhandlungs|orte
Verhandlungs|ortes
Verhandlungs|orts
Verhandlungs|orten
Verhandlungs|trick
Verhandlungs|tricks
Verfahrens|trick
Verfahrens|tricks
Verfahrens|trickes
Verfahrens|teile
